sample number,cpu_time,runtime,k,fluxQ1,fluxQ2,fluxQ3,fluxQ4,k_uncert,flux_runcertQ1,flux_runcertQ2,flux_runcertQ3,flux_runcertQ4,fissQ1,fissQ2,fissQ3,fissQ4,fissEQ1,fissEQ2,fissEQ3,fissEQ4,fiss_runcertQ1,fiss_runcertQ2,fiss_runcertQ3,fiss_runcertQ4,fissE_runcertQ1,fissE_runcertQ2,fissE_runcertQ3,fissE_runcertQ4,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8
sample_00159,2.58E+03,1.30E+02,0.99399,2.53E+19,2.50E+19,2.57E+19,2.69E+19,0.00025,0.00146,0.00143,0.00143,0.00149,8.49E+16,8.48E+16,8.48E+16,8.49E+16,2750240,2749480,2749900,2750110,0.00079,0.00076,0.00078,0.0008,0.00078,0.00076,0.00078,0.0008,2.11620533,3.39984912,1.02361784,6.10908984,2.88069276,2.3506533,5.31237459,5.49528088
sample_00160,2.58E+03,1.30E+02,0.987558,2.67E+19,2.57E+19,2.54E+19,2.59E+19,0.00023,0.00137,0.0014,0.00138,0.00136,8.48E+16,8.49E+16,8.49E+16,8.48E+16,2747960,2751790,2752700,2746890,0.00079,0.00076,0.00077,0.00078,0.00079,0.00076,0.00077,0.00078,0.037607847,5.93793797,3.90095143,4.60538347,1.20423461,5.91460802,2.79474715,4.80165649
sample_00161,2.56E+03,1.29E+02,0.980367,2.57E+19,2.54E+19,2.55E+19,2.53E+19,0.00024,0.00135,0.00136,0.00145,0.00143,8.48E+16,8.49E+16,8.48E+16,8.48E+16,2749920,2750440,2749360,2749530,0.00086,0.0008,0.00082,0.00079,0.00086,0.0008,0.00082,0.00079,5.92646025,3.44706851,6.02860634,4.2871741,6.09317596,5.00864428,1.40755761,3.2894194
sample_00162,2.59E+03,1.30E+02,0.998479,2.54E+19,2.51E+19,2.52E+19,2.58E+19,0.00024,0.0015,0.00146,0.00151,0.0015,8.49E+16,8.48E+16,8.49E+16,8.48E+16,2751370,2748540,2752900,2748980,0.00079,0.00079,0.0008,0.00076,0.00079,0.00079,0.0008,0.00076,1.92075016,1.05591258,0.11554963,2.15532712,2.96585767,6.15243227,5.04841217,5.08323157
sample_00163,2.57E+03,1.29E+02,0.984738,2.52E+19,2.51E+19,2.66E+19,2.59E+19,0.00025,0.00158,0.00161,0.00163,0.00157,8.48E+16,8.48E+16,8.49E+16,8.48E+16,2748980,2749270,2751990,2749530,0.0008,0.00081,0.00081,0.00075,0.0008,0.00081,0.00081,0.00075,2.66623129,4.66951601,4.83464131,5.35211084,2.09926342,4.32550451,1.90471676,5.00093589
sample_00164,2.58E+03,1.29E+02,0.990501,2.64E+19,2.51E+19,2.48E+19,2.57E+19,0.00024,0.00121,0.0012,0.00118,0.00117,8.49E+16,8.49E+16,8.48E+16,8.49E+16,2751590,2751310,2749160,2752160,0.00081,0.00077,0.00073,0.00076,0.00081,0.00077,0.00073,0.00076,1.30862175,0.998057181,0.231576506,0.836955087,0.356279056,2.19893289,3.71900814,4.84942853
sample_00165,2.57E+03,1.29E+02,0.991802,2.57E+19,2.65E+19,2.58E+19,2.54E+19,0.00025,0.00124,0.00121,0.0012,0.00123,8.49E+16,8.48E+16,8.49E+16,8.48E+16,2750970,2749480,2750770,2747300,0.00085,0.00075,0.00083,0.00077,0.00085,0.00075,0.00083,0.00077,4.10346478,6.20259808,2.72179468,3.87484105,2.66740859,2.32086995,2.47654568,0.288367747
sample_00166,2.57E+03,1.29E+02,0.984015,2.58E+19,2.58E+19,2.60E+19,2.54E+19,0.00026,0.00145,0.0015,0.00148,0.00142,8.48E+16,8.48E+16,8.50E+16,8.49E+16,2747390,2749980,2755530,2750470,0.00079,0.00079,0.00076,0.00077,0.00079,0.00079,0.00076,0.00077,3.77350139,1.48753957,0.623064828,0.79794841,3.33345386,0.272049442,2.27169721,4.12336843
sample_00167,2.57E+03,1.29E+02,0.985423,2.57E+19,2.60E+19,2.62E+19,2.51E+19,0.00024,0.00147,0.00149,0.00149,0.00145,8.48E+16,8.48E+16,8.50E+16,8.48E+16,2749140,2748130,2754060,2747090,0.00081,0.00077,0.0008,0.0008,0.00081,0.00077,0.0008,0.0008,3.72070859,0.43419447,2.61853689,5.44864605,4.08934969,5.70397509,2.40768718,2.91525343
sample_00168,2.57E+03,1.29E+02,0.993722,2.47E+19,2.58E+19,2.57E+19,2.57E+19,0.00024,0.00133,0.00134,0.00132,0.00135,8.47E+16,8.49E+16,8.50E+16,8.49E+16,2744860,2750190,2755540,2751940,0.00075,0.00079,0.00078,0.00082,0.00075,0.00079,0.00078,0.00082,3.81922146,3.70252407,1.46210747,3.77911726,1.59498604,3.89235983,0.154395387,5.19465097
sample_00169,2.59E+03,1.30E+02,0.986243,2.56E+19,2.60E+19,2.52E+19,2.52E+19,0.00025,0.00151,0.00147,0.00147,0.00152,8.50E+16,8.48E+16,8.47E+16,8.48E+16,2753690,2748390,2746350,2749270,0.0008,0.00078,0.00084,0.00083,0.0008,0.00078,0.00084,0.00083,4.3230851,0.194600789,2.00617603,1.10198981,1.57307295,0.023061591,0.617387892,1.36756766
sample_00170,2.57E+03,1.29E+02,0.984026,2.65E+19,2.59E+19,2.53E+19,2.59E+19,0.00024,0.00174,0.00172,0.00173,0.0017,8.49E+16,8.49E+16,8.48E+16,8.48E+16,2752750,2751500,2747750,2749720,0.00076,0.00077,0.00082,0.00075,0.00076,0.00077,0.00082,0.00075,1.90165148,5.99253533,4.16470236,4.07362168,0.609524629,1.2543433,2.81454698,4.66410921
sample_00171,2.58E+03,1.30E+02,0.996421,2.48E+19,2.51E+19,2.62E+19,2.65E+19,0.00024,0.00141,0.0014,0.00144,0.00147,8.48E+16,8.50E+16,8.49E+16,8.48E+16,2746750,2754490,2751240,2748270,0.00076,0.00078,0.0008,0.0008,0.00076,0.00078,0.0008,0.0008,3.36037246,3.01600267,5.75530676,3.61763883,3.14734037,3.05678774,4.75178217,5.95968103
sample_00172,2.57E+03,1.29E+02,0.980433,2.65E+19,2.58E+19,2.61E+19,2.57E+19,0.00025,0.00143,0.00142,0.00146,0.00148,8.49E+16,8.48E+16,8.49E+16,8.48E+16,2751730,2747820,2753080,2747740,0.00078,0.00081,0.00077,0.00082,0.00078,0.00081,0.00077,0.00082,2.11922513,1.51600653,6.15690424,6.01045424,2.88680512,1.28973494,2.3647361,2.21075631
sample_00173,2.57E+03,1.29E+02,0.990999,2.55E+19,2.67E+19,2.54E+19,2.54E+19,0.00024,0.00145,0.00152,0.00145,0.00146,8.48E+16,8.49E+16,8.48E+16,8.48E+16,2747430,2751180,2748130,2749310,0.00078,0.00081,0.00081,0.00078,0.00078,0.00081,0.00081,0.00078,3.61889591,5.91432866,2.75223928,2.35996728,0.851187823,5.46646459,2.00598191,5.28564281
sample_00174,2.59E+03,1.30E+02,0.989245,2.50E+19,2.60E+19,2.60E+19,2.49E+19,0.00025,0.00154,0.00162,0.00155,0.00154,8.48E+16,8.48E+16,8.48E+16,8.49E+16,2749870,2749640,2747680,2751710,0.00083,0.00078,0.00083,0.00086,0.00083,0.00078,0.00083,0.00086,3.66081027,5.80192651,1.61035214,4.40141467,4.76631861,3.69648698,1.18011773,3.16395226
sample_00175,2.60E+03,1.30E+02,0.994784,2.58E+19,2.52E+19,2.62E+19,2.55E+19,0.00024,0.00151,0.00153,0.00153,0.00146,8.49E+16,8.48E+16,8.49E+16,8.48E+16,2752210,2748970,2751010,2749120,0.00084,0.00081,0.00077,0.00083,0.00084,0.00081,0.00077,0.00083,0.829384343,6.18577826,5.6242675,4.0415309,2.37742976,4.11504914,6.07555703,2.40890279
sample_00176,2.58E+03,1.30E+02,0.995783,2.54E+19,2.49E+19,2.63E+19,2.53E+19,0.00025,0.00154,0.00152,0.00149,0.00145,8.48E+16,8.48E+16,8.49E+16,8.49E+16,2749560,2749860,2750070,2750300,0.00081,0.0008,0.0008,0.00079,0.00081,0.00079,0.0008,0.00079,1.09398141,2.26113925,4.70824709,0.872264096,3.92671108,4.26402516,0.169167674,1.76406184
sample_00177,2.59E+03,1.30E+02,0.998284,2.49E+19,2.59E+19,2.65E+19,2.49E+19,0.00024,0.00148,0.0015,0.00157,0.00155,8.49E+16,8.48E+16,8.49E+16,8.47E+16,2752560,2748700,2750170,2744740,0.00079,0.00081,0.00077,0.00078,0.00079,0.00081,0.00077,0.00078,3.56819354,0.44547632,1.3048835,1.95641286,3.18328619,4.1539725,4.29192645,3.18314471
sample_00178,2.58E+03,1.30E+02,0.998201,2.56E+19,2.61E+19,2.62E+19,2.55E+19,0.00024,0.00142,0.00143,0.00147,0.00143,8.49E+16,8.47E+16,8.49E+16,8.49E+16,2752500,2743860,2752080,2750540,0.00081,0.0008,0.00079,0.00081,0.00081,0.0008,0.00079,0.00081,0.116916476,4.90511981,3.48494778,2.93506995,4.42109339,4.68970546,2.75698853,5.55336486
sample_00179,2.58E+03,1.30E+02,0.994412,2.55E+19,2.55E+19,2.57E+19,2.54E+19,0.00023,0.00129,0.00129,0.00127,0.00127,8.48E+16,8.48E+16,8.48E+16,8.48E+16,2749300,2748490,2748870,2748350,0.00079,0.00079,0.00081,0.00081,0.00079,0.00079,0.00081,0.00081,1.72171405,2.20808,0.255680249,2.21370843,2.30926547,5.09918778,2.33629482,6.0284158
sample_00180,2.58E+03,1.30E+02,0.992019,2.55E+19,2.53E+19,2.61E+19,2.66E+19,0.00025,0.00147,0.00145,0.00149,0.00152,8.48E+16,8.49E+16,8.49E+16,8.48E+16,2749040,2752550,2751210,2748480,0.0008,0.00081,0.00078,0.00083,0.0008,0.00081,0.00078,0.00083,1.61768535,4.78072475,5.16524906,1.23177361,5.34667327,3.42510455,5.68343732,0.854938792
sample_00181,2.57E+03,1.29E+02,0.987837,2.50E+19,2.51E+19,2.68E+19,2.56E+19,0.00024,0.0019,0.00192,0.00196,0.00191,8.49E+16,8.48E+16,8.49E+16,8.49E+16,2752280,2749310,2750360,2750050,0.00079,0.00079,0.00079,0.00081,0.00079,0.00079,0.00079,0.00081,4.40799617,2.72997419,5.99393488,6.08957903,3.88768106,4.90320456,0.24238377,3.76844509
sample_00182,2.57E+03,1.29E+02,0.987394,2.50E+19,2.59E+19,2.58E+19,2.52E+19,0.00024,0.00123,0.00126,0.00122,0.00121,8.49E+16,8.48E+16,8.49E+16,8.49E+16,2750530,2749070,2753030,2752080,0.0008,0.00084,0.00077,0.00083,0.0008,0.00084,0.00077,0.00083,2.39339042,3.76388573,0.856195012,1.96149327,5.59411493,3.52104264,0.253059144,2.85144081
sample_00183,2.55E+03,1.28E+02,0.977485,2.56E+19,2.59E+19,2.65E+19,2.57E+19,0.00025,0.00161,0.00166,0.00162,0.00161,8.48E+16,8.49E+16,8.49E+16,8.49E+16,2749170,2750880,2751210,2752910,0.00075,0.00076,0.00081,0.00079,0.00075,0.00076,0.00081,0.00079,2.96197867,3.3992734,0.689366263,5.64331737,2.16013652,5.53969185,3.00775636,1.94895764
sample_00184,2.58E+03,1.30E+02,0.994603,2.58E+19,2.52E+19,2.52E+19,2.57E+19,0.00024,0.00137,0.00138,0.00141,0.00139,8.48E+16,8.49E+16,8.48E+16,8.48E+16,2747220,2752670,2747980,2747600,0.00081,0.00076,0.00077,0.0008,0.00081,0.00076,0.00077,0.0008,1.75195383,0.651138306,5.76652272,2.04076315,5.67430422,5.06678569,5.95388758,4.45327706
sample_00185,2.58E+03,1.29E+02,0.990598,2.56E+19,2.63E+19,2.52E+19,2.50E+19,0.00024,0.00169,0.0017,0.00172,0.00175,8.49E+16,8.48E+16,8.49E+16,8.48E+16,2751010,2748270,2753100,2749900,0.00082,0.00079,0.00077,0.00084,0.00081,0.00079,0.00077,0.00084,4.70301829,6.25890167,3.1265747,2.6789215,1.12847448,2.63387773,0.471745715,3.23898775
sample_00186,2.58E+03,1.29E+02,0.99017,2.50E+19,2.63E+19,2.49E+19,2.50E+19,0.00025,0.00133,0.00141,0.00133,0.00129,8.49E+16,8.48E+16,8.48E+16,8.48E+16,2751400,2748350,2746850,2748460,0.00078,0.0008,0.00086,0.00078,0.00078,0.0008,0.00086,0.00078,2.37799024,5.01237137,1.50591742,2.57513008,1.79814866,0.940321863,0.83070785,4.40074302
sample_00187,2.56E+03,1.29E+02,0.979982,2.57E+19,2.60E+19,2.54E+19,2.57E+19,0.00024,0.0015,0.00147,0.0015,0.00154,8.48E+16,8.49E+16,8.49E+16,8.49E+16,2749050,2752070,2750770,2750370,0.00083,0.0008,0.00079,0.00081,0.00083,0.0008,0.00079,0.00081,4.99803756,5.00974162,1.58185707,0.545052863,1.50608789,1.3869052,0.975874796,1.29108226
sample_00188,2.58E+03,1.30E+02,0.994264,2.66E+19,2.56E+19,2.50E+19,2.49E+19,0.00024,0.00166,0.00162,0.00159,0.00158,8.50E+16,8.48E+16,8.48E+16,8.48E+16,2754060,2748760,2747920,2748070,0.00082,0.00079,0.00083,0.00077,0.00082,0.00079,0.00083,0.00077,0.455287626,0.901573398,2.84178681,0.824491696,2.70749963,0.525806758,0.993277628,3.5068272
sample_00189,2.58E+03,1.30E+02,0.985867,2.58E+19,2.49E+19,2.50E+19,2.62E+19,0.00025,0.00151,0.00152,0.00151,0.00155,8.48E+16,8.47E+16,8.49E+16,8.49E+16,2748680,2746360,2751270,2750770,0.00085,0.00081,0.00074,0.00082,0.00085,0.00081,0.00074,0.00082,0.49390285,3.54288688,5.6637642,5.01728577,5.63881031,1.2724676,0.455216485,0.160670624
sample_00190,2.57E+03,1.29E+02,0.985661,2.59E+19,2.66E+19,2.56E+19,2.55E+19,0.00023,0.00138,0.00143,0.00145,0.00142,8.49E+16,8.49E+16,8.48E+16,8.48E+16,2751270,2751890,2749920,2748860,0.00077,0.0008,0.0008,0.0008,0.00077,0.0008,0.0008,0.0008,1.71170988,3.55462764,3.53904881,2.54054784,1.81350942,1.53427489,1.74144013,3.95441381
sample_00191,2.59E+03,1.30E+02,0.995905,2.47E+19,2.44E+19,2.63E+19,2.60E+19,0.00025,0.00127,0.00127,0.00129,0.00127,8.49E+16,8.48E+16,8.49E+16,8.49E+16,2751400,2749940,2752200,2750380,0.00074,0.0008,0.00075,0.00083,0.00074,0.0008,0.00075,0.00083,5.61458714,3.97361704,4.71029367,5.62271634,3.26633703,3.93300671,4.45634364,0.326926099
sample_00192,2.57E+03,1.29E+02,0.988239,2.62E+19,2.58E+19,2.62E+19,2.64E+19,0.00024,0.00133,0.00132,0.0013,0.00128,8.48E+16,8.48E+16,8.48E+16,8.48E+16,2747180,2749180,2749730,2748320,0.00081,0.00078,0.00079,0.00078,0.00081,0.00078,0.00079,0.00078,5.81754369,2.97976149,4.63527093,4.03963365,5.6857702,3.53246748,5.9266208,3.9160168
sample_00193,2.58E+03,1.30E+02,0.994981,2.60E+19,2.59E+19,2.52E+19,2.50E+19,0.00025,0.00144,0.00139,0.00137,0.00139,8.49E+16,8.48E+16,8.48E+16,8.48E+16,2752150,2749040,2749190,2748760,0.00079,0.00078,0.00086,0.0008,0.00079,0.00078,0.00086,0.0008,0.185369703,6.04103741,3.29833755,3.28729189,1.00682274,4.05001315,3.35264763,4.22154292
sample_00194,2.58E+03,1.30E+02,0.996615,2.60E+19,2.70E+19,2.56E+19,2.54E+19,0.00024,0.00179,0.00178,0.00175,0.0018,8.49E+16,8.48E+16,8.50E+16,8.47E+16,2750630,2749380,2756010,2744170,0.00079,0.0008,0.0008,0.00078,0.00079,0.0008,0.0008,0.00078,4.74316892,0.407618235,2.12936065,2.86003075,5.80741574,5.04684606,1.14662787,0.556416562
sample_00195,2.58E+03,1.29E+02,0.990212,2.65E+19,2.57E+19,2.63E+19,2.57E+19,0.00024,0.00128,0.00126,0.00125,0.00124,8.50E+16,8.49E+16,8.48E+16,8.48E+16,2753680,2751340,2749210,2748460,0.00082,0.00085,0.0008,0.00082,0.00082,0.00085,0.0008,0.00082,0.672395199,6.08761614,4.76016016,0.611305487,3.30422521,2.56408384,2.67276264,1.15338761
sample_00196,1.88E+03,9.48E+01,0.98897,2.57E+19,2.54E+19,2.52E+19,2.52E+19,0.00024,0.00179,0.00177,0.00176,0.00179,8.49E+16,8.49E+16,8.48E+16,8.49E+16,2751160,2752790,2747670,2750770,0.0008,0.00075,0.00081,0.00078,0.0008,0.00075,0.00081,0.00078,1.87661809,1.75952114,4.97952854,2.67490821,2.14297601,1.86194039,2.05565547,4.80005185
sample_00197,1.87E+03,9.48E+01,0.977615,2.65E+19,2.58E+19,2.57E+19,2.58E+19,0.00025,0.00142,0.00139,0.00142,0.00145,8.48E+16,8.49E+16,8.50E+16,8.48E+16,2747410,2750750,2753810,2749360,0.00076,0.00082,0.00082,0.00077,0.00076,0.00082,0.00082,0.00077,4.9391972,2.1781783,4.76884605,6.22861601,5.5224063,0.740652067,1.8793191,3.82908077
sample_00198,1.87E+03,9.45E+01,0.987866,2.57E+19,2.55E+19,2.55E+19,2.60E+19,0.00026,0.00134,0.0013,0.00129,0.00134,8.49E+16,8.49E+16,8.49E+16,8.47E+16,2750610,2751060,2750180,2746200,0.00078,0.0008,0.00081,0.00075,0.00078,0.0008,0.00081,0.00075,3.21944476,0.956107117,2.60151834,6.10863271,0.124323396,4.67213582,0.264493155,0.797769559
sample_00199,1.86E+03,9.39E+01,0.980062,2.63E+19,2.67E+19,2.59E+19,2.64E+19,0.00026,0.00157,0.00166,0.00157,0.00155,8.49E+16,8.48E+16,8.49E+16,8.48E+16,2752110,2748940,2750130,2747600,0.00084,0.00078,0.00079,0.0008,0.00084,0.00078,0.00079,0.0008,4.86390777,4.37960565,1.6054669,5.09436099,0.791541718,1.52508624,2.68888794,4.91500187
sample_00200,1.88E+03,9.48E+01,0.990887,2.53E+19,2.53E+19,2.53E+19,2.64E+19,0.00025,0.00134,0.00134,0.00137,0.0014,8.49E+16,8.49E+16,8.48E+16,8.49E+16,2750400,2752300,2749540,2751300,0.00081,0.00076,0.00075,0.00082,0.00081,0.00076,0.00075,0.00082,4.17153274,5.86211421,1.49676398,0.58243397,2.24403466,0.573638193,5.55209101,5.20379311
sample_00201,1.88E+03,9.45E+01,0.989686,2.62E+19,2.57E+19,2.70E+19,2.54E+19,0.00024,0.00151,0.00145,0.00143,0.00145,8.49E+16,8.49E+16,8.49E+16,8.47E+16,2750050,2751220,2750230,2746040,0.00082,0.00081,0.00082,0.00078,0.00082,0.00081,0.00082,0.00078,5.09127796,1.65008408,4.81002419,0.817681428,2.54875997,4.09530422,2.76433028,2.66140852
sample_00202,1.88E+03,9.49E+01,0.988738,2.60E+19,2.50E+19,2.56E+19,2.62E+19,0.00026,0.00158,0.00155,0.00159,0.0016,8.49E+16,8.49E+16,8.49E+16,8.48E+16,2752130,2750910,2752320,2747780,0.00079,0.00081,0.00079,0.00078,0.00079,0.00081,0.00079,0.00078,6.10386284,2.75212085,0.336102197,5.74746251,1.17078977,3.36739796,0.805019181,5.33832763
sample_00203,1.88E+03,9.44E+01,0.991083,2.52E+19,2.52E+19,2.64E+19,2.58E+19,0.00024,0.00147,0.00143,0.00144,0.00147,8.48E+16,8.48E+16,8.47E+16,8.50E+16,2749020,2748220,2746250,2754330,0.00083,0.0008,0.00082,0.00075,0.00083,0.0008,0.00082,0.00075,3.43676598,0.341741926,3.38941816,0.076852371,2.3059881,4.15616656,5.63799224,1.79536707
sample_00204,1.86E+03,9.37E+01,0.987791,2.56E+19,2.56E+19,2.60E+19,2.55E+19,0.00024,0.00152,0.00155,0.00157,0.00149,8.48E+16,8.49E+16,8.49E+16,8.49E+16,2749770,2750220,2751090,2752020,0.00083,0.00078,0.00079,0.00078,0.00083,0.00078,0.00079,0.00078,6.23143351,4.07822524,4.28540148,3.91786556,5.03506905,4.87274436,1.81686028,0.772900912
sample_00205,1.87E+03,9.36E+01,1.0005,2.57E+19,2.60E+19,2.52E+19,2.56E+19,0.00025,0.0016,0.00156,0.0016,0.00163,8.48E+16,8.48E+16,8.48E+16,8.48E+16,2749200,2747870,2748760,2749920,0.00081,0.0008,0.00083,0.00075,0.00081,0.0008,0.00083,0.00075,5.86363718,2.37855651,1.70769739,2.34750351,2.04005678,5.76140517,0.068772671,0.239108435
sample_00206,1.86E+03,9.36E+01,0.991848,2.52E+19,2.63E+19,2.55E+19,2.54E+19,0.00025,0.00148,0.00147,0.00142,0.00147,8.49E+16,8.48E+16,8.49E+16,8.49E+16,2752360,2749700,2751190,2752080,0.00079,0.00079,0.00082,0.00074,0.00079,0.00079,0.00082,0.00074,2.70438981,2.67104099,1.28664614,2.19062509,4.95448736,6.08182643,1.35009817,5.98810499
sample_00207,1.86E+03,9.45E+01,0.993244,2.65E+19,2.55E+19,2.48E+19,2.60E+19,0.00024,0.00152,0.00149,0.00147,0.00152,8.48E+16,8.48E+16,8.50E+16,8.49E+16,2747350,2749840,2754380,2753180,0.00076,0.0008,0.00079,0.00077,0.00076,0.0008,0.00079,0.00077,0.432215942,6.20805197,1.27821831,4.87828935,1.05214281,1.03166455,4.28335638,4.88914869
sample_00208,1.86E+03,9.36E+01,0.996035,2.57E+19,2.53E+19,2.56E+19,2.56E+19,0.00023,0.00141,0.00137,0.00135,0.0014,8.48E+16,8.49E+16,8.48E+16,8.48E+16,2749760,2750970,2748750,2749330,0.00081,0.00079,0.00076,0.0008,0.00081,0.00079,0.00076,0.0008,1.37101159,0.290446537,5.25408475,3.32256508,3.81768704,5.82293671,5.53439922,1.61334459
sample_00209,1.86E+03,9.40E+01,0.991166,2.58E+19,2.51E+19,2.54E+19,2.68E+19,0.00026,0.00156,0.00158,0.00155,0.00156,8.49E+16,8.48E+16,8.48E+16,8.48E+16,2750550,2749870,2749960,2749050,0.00081,0.0008,0.0008,0.00077,0.00081,0.0008,0.0008,0.00077,1.55543922,5.67426955,5.68966027,1.07832066,1.96175528,0.360224792,5.21680258,0.611286626
sample_00210,1.86E+03,9.37E+01,0.993211,2.49E+19,2.49E+19,2.57E+19,2.55E+19,0.00023,0.00142,0.0014,0.00137,0.00141,8.49E+16,8.49E+16,8.48E+16,8.49E+16,2752800,2750380,2748040,2751990,0.00077,0.0008,0.00078,0.00073,0.00077,0.0008,0.00078,0.00073,0.871146776,4.15271309,5.02360866,2.13405097,1.82230765,3.96295625,5.99829312,1.3221016
sample_00211,1.86E+03,9.41E+01,0.987341,2.60E+19,2.63E+19,2.67E+19,2.63E+19,0.00024,0.00136,0.00138,0.00142,0.00138,8.48E+16,8.50E+16,8.49E+16,8.48E+16,2748750,2755270,2751010,2748790,0.00078,0.00079,0.0008,0.00087,0.00078,0.00079,0.0008,0.00087,2.74111002,2.61577409,1.60777422,5.63891456,2.73199946,5.64781041,1.08026617,4.69455869
sample_00212,1.83E+03,9.23E+01,0.981466,2.57E+19,2.53E+19,2.55E+19,2.65E+19,0.00026,0.00135,0.00136,0.00134,0.00138,8.49E+16,8.49E+16,8.48E+16,8.48E+16,2751950,2752990,2749580,2748830,0.00081,0.00081,0.00078,0.00077,0.00081,0.00081,0.00078,0.00077,5.1853996,5.12089908,0.014417933,5.83514994,5.65971382,1.1536136,5.93746074,1.28611438
sample_00213,1.83E+03,9.33E+01,0.982371,2.62E+19,2.52E+19,2.53E+19,2.57E+19,0.00025,0.00128,0.00129,0.00129,0.00126,8.49E+16,8.48E+16,8.48E+16,8.49E+16,2751370,2749320,2748420,2750350,0.00078,0.00082,0.00078,0.00075,0.00078,0.00082,0.00078,0.00075,4.65412013,0.685692004,5.97746193,0.149432181,1.98029024,0.563685218,1.28778299,4.63471956
sample_00214,1.84E+03,9.41E+01,0.991398,2.51E+19,2.48E+19,2.58E+19,2.49E+19,0.00024,0.0015,0.00148,0.00151,0.00152,8.49E+16,8.48E+16,8.48E+16,8.49E+16,2750510,2749210,2749870,2752780,0.00077,0.00079,0.00085,0.00075,0.00077,0.00079,0.00085,0.00075,4.39911069,0.984696975,3.65226521,5.49725496,3.46631131,5.08977467,2.81640284,0.543051102
sample_00215,1.85E+03,9.46E+01,0.989667,2.52E+19,2.68E+19,2.59E+19,2.51E+19,0.00025,0.00127,0.00131,0.00127,0.00128,8.48E+16,8.47E+16,8.49E+16,8.49E+16,2748490,2744450,2750120,2750180,0.0008,0.0008,0.00084,0.00081,0.0008,0.0008,0.00084,0.00081,4.79425471,3.91373306,1.25843742,2.62831411,2.33115975,2.58225415,3.66999018,3.6025287
sample_00216,1.88E+03,9.42E+01,0.990675,2.62E+19,2.57E+19,2.55E+19,2.53E+19,0.00025,0.00159,0.00153,0.00155,0.00164,8.48E+16,8.49E+16,8.49E+16,8.49E+16,2749540,2750850,2750260,2750520,0.00082,0.00079,0.0008,0.00078,0.00082,0.00079,0.0008,0.00078,5.54785063,0.310726294,3.85023379,1.25313217,2.93263225,0.617810058,0.454514155,1.7164097
sample_00217,1.87E+03,9.44E+01,0.985175,2.53E+19,2.58E+19,2.58E+19,2.62E+19,0.00025,0.00165,0.00163,0.00166,0.00171,8.48E+16,8.50E+16,8.48E+16,8.48E+16,2748680,2753660,2747950,2747960,0.00079,0.00076,0.00078,0.0008,0.00079,0.00076,0.00078,0.0008,3.11264998,3.20426368,4.98312054,3.25084668,5.10661051,1.48588186,6.25893225,0.951754029
sample_00218,1.87E+03,9.42E+01,0.985001,2.55E+19,2.52E+19,2.54E+19,2.58E+19,0.00024,0.00125,0.00125,0.00131,0.00131,8.48E+16,8.50E+16,8.48E+16,8.48E+16,2748580,2754040,2749450,2748690,0.00078,0.0008,0.00079,0.0008,0.00078,0.0008,0.00079,0.0008,1.36805734,4.25534674,1.14096678,0.314808826,1.13381917,5.30931359,5.5020072,3.67683038
sample_00219,1.89E+03,9.53E+01,0.992153,2.67E+19,2.53E+19,2.47E+19,2.55E+19,0.00023,0.00154,0.00151,0.00154,0.00154,8.49E+16,8.49E+16,8.49E+16,8.49E+16,2751550,2750190,2750300,2752390,0.00078,0.00077,0.00078,0.00075,0.00078,0.00077,0.00078,0.00075,0.609344714,1.58553991,4.77439161,3.50213918,1.16953298,0.384419288,2.83083178,5.10559068
sample_00220,1.84E+03,9.35E+01,0.989702,2.52E+19,2.51E+19,2.60E+19,2.53E+19,0.00024,0.00142,0.00143,0.00153,0.00147,8.49E+16,8.48E+16,8.50E+16,8.49E+16,2751190,2747380,2754700,2750410,0.00081,0.00083,0.00079,0.0008,0.00081,0.00082,0.00079,0.0008,4.483828,0.149509952,5.93339517,1.21499387,2.43002349,3.37528299,4.3475221,3.73045794
sample_00221,1.84E+03,9.27E+01,0.995392,2.57E+19,2.47E+19,2.50E+19,2.65E+19,0.00024,0.00136,0.00129,0.00127,0.00137,8.48E+16,8.49E+16,8.48E+16,8.49E+16,2747920,2750240,2747410,2751300,0.00077,0.00081,0.00076,0.00078,0.00077,0.00081,0.00076,0.00078,5.88382997,2.42629556,0.644058323,5.4761348,2.96040152,1.12290339,5.43097263,5.69935505
sample_00222,1.83E+03,9.35E+01,0.986497,2.56E+19,2.53E+19,2.64E+19,2.63E+19,0.00024,0.00165,0.00162,0.00163,0.00161,8.48E+16,8.46E+16,8.48E+16,8.50E+16,2749670,2742340,2748380,2756230,0.00084,0.00076,0.0008,0.00078,0.00084,0.00076,0.0008,0.00078,3.29569435,0.054384094,4.60709801,6.16203081,2.2833115,5.24811977,4.22402446,1.11096487
sample_00223,1.84E+03,9.35E+01,0.984567,2.73E+19,2.55E+19,2.51E+19,2.56E+19,0.00024,0.00124,0.00117,0.00114,0.00117,8.50E+16,8.47E+16,8.49E+16,8.48E+16,2755940,2746430,2750400,2748420,0.00081,0.0008,0.00082,0.0008,0.00081,0.0008,0.00082,0.0008,1.11123165,1.10217001,5.30990646,0.255717908,0.029492167,1.21184252,1.8881434,3.80187034
